episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -159.86243109218776, 2, 15.865209512001456, 141, 15010, 15010, 4.893626689910889, 14.57697868347168
2, -106.17834130162373, 2, 13.896170533000259, 120, 15130, 15130, 4.937438011169434, 14.50246810913086
3, -39.06243084999733, 2, 13.856245554998168, 122, 15252, 15252, 4.926775932312012, 14.79611587524414
4, -45.13983688503504, 2, 11.224680233000981, 98, 15350, 15350, 4.923406600952148, 15.370743751525879
5, -21.212588203372434, 2, 11.116668741000467, 97, 15447, 15447, 4.688295841217041, 15.428805351257324
6, -4.9125517648644745, 2, 21.52446038099879, 192, 15639, 15639, 4.779007434844971, 15.064945220947266
7, -161.375671213842, 2, 25.03467210999952, 224, 15863, 15863, 4.855742931365967, 15.314587593078613
8, -68.97268225625157, 2, 11.649486438000167, 102, 15965, 15965, 5.084561824798584, 15.692974090576172
9, -27.979186180979013, 2, 10.833047550000629, 94, 16059, 16059, 5.156100749969482, 15.924099922180176
10, -255.65907039493322, 2, 13.431138389001717, 118, 16177, 16177, 5.063870906829834, 15.960494995117188
11, -152.08337099908385, 2, 31.156762264999998, 280, 16457, 16457, 4.981589317321777, 16.408105850219727
12, -137.18485856149346, 2, 14.836607034998451, 131, 16588, 16588, 5.156154632568359, 16.047067642211914
13, -32.61061357706785, 2, 10.451422165999247, 91, 16679, 16679, 5.286356449127197, 17.493993759155273
14, -586.4929796904325, 4, 50.10283309599981, 452, 17131, 17131, 5.244704723358154, 17.091646194458008
15, -141.86542078852654, 2, 13.204408394001803, 116, 17247, 17247, 5.400509834289551, 16.798564910888672
16, -4.911372317001224, 2, 10.126906949997647, 88, 17335, 17335, 5.40794038772583, 18.192684173583984
17, -25.069636611064197, 2, 26.352824983001483, 236, 17571, 17571, 5.358799934387207, 17.031658172607422
18, -48.62143996404484, 2, 20.18613118599751, 180, 17751, 17751, 5.228579044342041, 17.586118698120117
19, -7.934144517406821, 2, 28.21585735500048, 253, 18004, 18004, 5.363012313842773, 17.61118507385254
20, -22.953949085902423, 2, 20.544795180998335, 183, 18187, 18187, 5.402203559875488, 18.176803588867188
21, -249.3795915043156, 2, 34.00457485900188, 306, 18493, 18493, 5.372779369354248, 18.682838439941406
22, -121.6694459261198, 2, 24.510236342001008, 219, 18712, 18712, 5.661234378814697, 19.220903396606445
23, -30.459158922545612, 2, 12.316190915000334, 108, 18820, 18820, 5.448028087615967, 18.604780197143555
24, -173.14641547948122, 2, 25.47391813699869, 228, 19048, 19048, 5.573171138763428, 19.538814544677734
25, -27.264883931726217, 2, 6.4225942339980975, 54, 19102, 19102, 5.595217227935791, 19.709850311279297
26, -86.75057604559697, 2, 35.677057962002436, 321, 19423, 19423, 5.515685081481934, 19.4630184173584
27, -314.2795948740095, 2, 20.91213371000049, 186, 19609, 19609, 5.615879535675049, 19.336071014404297
28, -36.842953296378255, 2, 11.352637948999472, 99, 19708, 19708, 5.571749687194824, 19.953401565551758
29, -50.43441473506391, 2, 27.865190562999487, 250, 19958, 19958, 5.700949668884277, 20.023818969726562
30, -28.06666653510183, 2, 28.35310508299881, 254, 20212, 20212, 5.812878608703613, 20.610029220581055
31, 8.618024291470647, 2, 18.899683601997822, 168, 20380, 20380, 5.844221591949463, 20.159292221069336
