episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -370.51036768069025, 2, 39.159548122999695, 355, 15133, 15133, 2.2596704959869385, 5.846608638763428
2, -483.0758498329669, 2, 17.032878309000807, 151, 15284, 15284, 2.430729866027832, 6.234703540802002
3, -112.55605515255593, 2, 16.774223934000474, 149, 15433, 15433, 2.3980298042297363, 6.129672527313232
4, -123.86346000339836, 2, 15.844746775001113, 140, 15573, 15573, 2.4382424354553223, 6.0505571365356445
5, -136.7197786689503, 2, 7.738913533001323, 66, 15639, 15639, 2.4207046031951904, 6.383724689483643
6, -38.88979901280254, 2, 16.776376572997833, 149, 15788, 15788, 2.436227798461914, 6.071404457092285
7, -59.258859927766025, 2, 12.319003392000013, 108, 15896, 15896, 2.5153915882110596, 6.384832382202148
8, -114.2376223988831, 2, 41.53020593099791, 375, 16271, 16271, 2.5376546382904053, 6.5419816970825195
9, -120.34273372637108, 2, 19.679210000998864, 175, 16446, 16446, 2.5058746337890625, 6.548764705657959
10, -81.67415796220303, 2, 12.761978687998635, 112, 16558, 16558, 2.6664748191833496, 6.679078102111816
11, -73.60000611306168, 2, 27.183097258999624, 244, 16802, 16802, 2.6175284385681152, 6.929853916168213
12, -73.2851495994255, 2, 13.623831644999882, 120, 16922, 16922, 2.592402696609497, 7.009303569793701
13, -56.531985349953175, 2, 15.928090850000444, 141, 17063, 17063, 2.661417007446289, 7.287441730499268
14, -266.4642989374697, 2, 11.676475015003234, 102, 17165, 17165, 2.6025328636169434, 7.342501163482666
15, -125.61545815411955, 2, 21.28766073999941, 190, 17355, 17355, 2.619117259979248, 7.084413051605225
16, -146.68513813603204, 2, 20.168216180001764, 180, 17535, 17535, 2.778028964996338, 7.371634483337402
17, -61.86962314043194, 2, 13.312952157997643, 117, 17652, 17652, 2.73960280418396, 7.250186920166016
18, -207.08407714264467, 2, 41.11793252500138, 371, 18023, 18023, 2.7839460372924805, 7.59344482421875
19, -181.81312055699527, 2, 30.84201256000233, 277, 18300, 18300, 2.7658462524414062, 7.675892353057861
20, -235.27457337081432, 2, 13.526083528999152, 119, 18419, 18419, 2.897925853729248, 7.95930290222168
21, -36.71148510091007, 2, 13.102682632001233, 115, 18534, 18534, 2.803565740585327, 8.162365913391113
22, -23.57971898652613, 2, 11.647190244002559, 102, 18636, 18636, 2.880974054336548, 7.939437389373779
23, -20.699464151635766, 2, 12.426686991999304, 109, 18745, 18745, 2.8190226554870605, 7.890889644622803
24, -78.37803847528994, 2, 12.103047969998443, 106, 18851, 18851, 2.8413100242614746, 8.217220306396484
25, -23.497519712895155, 2, 12.20720931300093, 107, 18958, 18958, 2.8492825031280518, 7.782044410705566
