episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -51.65240805968642, 2, 13.175777124999513, 101, 15054, 15054, 3.0096569061279297, 19.336822509765625
2, -5.430438216775656, 2, 4.297659440000643, 30, 15084, 15084, 2.8674612045288086, 19.123106002807617
3, -241.92653284221888, 2, 20.838550418000523, 160, 15244, 15244, 3.037532091140747, 19.529083251953125
4, -1.8163861185312271, 2, 4.654300672000318, 33, 15277, 15277, 3.19134259223938, 20.132108688354492
5, -144.64484307169914, 2, 4.3466189869996015, 30, 15307, 15307, 3.0058693885803223, 19.882932662963867
6, 6.8286166582256556, 2, 9.501792037000996, 71, 15378, 15378, 3.0447747707366943, 20.11041259765625
7, -0.44111074320971966, 2, 8.339081549000184, 62, 15440, 15440, 3.0582973957061768, 20.44548988342285
8, -208.75084235705435, 2, 35.48105065100026, 276, 15716, 15716, 2.9837443828582764, 20.178668975830078
9, -495.46166435210034, 4, 49.54547715899935, 387, 16103, 16103, 3.1160995960235596, 20.767053604125977
10, -4.024874240159988, 2, 4.475472804999299, 31, 16134, 16134, 3.0941503047943115, 21.22580337524414
11, -5.67535316478461, 2, 5.4605779930006975, 39, 16173, 16173, 2.9977259635925293, 20.825532913208008
12, -19.33622546121478, 2, 4.29575773400029, 30, 16203, 16203, 2.900606632232666, 21.160261154174805
13, -246.55048039898975, 4, 49.99057524700038, 391, 16594, 16594, 2.9767661094665527, 21.3149356842041
14, -125.55879495219415, 2, 34.76926401699893, 269, 16863, 16863, 3.0441298484802246, 21.723526000976562
15, 11.757852016948164, 2, 6.317655885999557, 46, 16909, 16909, 2.978602886199951, 22.00489044189453
16, -0.22840320295654237, 2, 5.063646870999946, 36, 16945, 16945, 3.0766453742980957, 21.790260314941406
17, -16.99220634996891, 2, 4.336193799999819, 30, 16975, 16975, 3.0632407665252686, 21.99049186706543
18, -16.77838020492345, 2, 7.894189310998627, 58, 17033, 17033, 2.9793667793273926, 22.017248153686523
19, -157.82660944620147, 2, 40.39601683199908, 311, 17344, 17344, 3.0908994674682617, 22.31305503845215
20, -1.550312832929194, 2, 17.830438476999916, 136, 17480, 17480, 2.995849609375, 22.745655059814453
21, -187.55742421653122, 2, 28.158834386000308, 217, 17697, 17697, 3.043861150741577, 22.64121437072754
22, 56.59939381480217, 2, 9.275742933999936, 69, 17766, 17766, 2.9952292442321777, 23.055248260498047
23, 12.774477565661073, 2, 11.111753059998591, 83, 17849, 17849, 3.1730847358703613, 23.234899520874023
24, -12.856827773153782, 2, 8.417495552001128, 62, 17911, 17911, 3.123347759246826, 23.182695388793945
25, -17.613694332540035, 2, 6.459443346000626, 47, 17958, 17958, 3.1137633323669434, 22.95619010925293
26, -473.200619449839, 4, 49.8598824719993, 386, 18344, 18344, 3.0808277130126953, 23.35529327392578
27, -43.80776796210557, 2, 16.27632183700007, 123, 18467, 18467, 3.0155234336853027, 23.43160057067871
28, -184.7707786243409, 2, 21.00584914799947, 160, 18627, 18627, 3.180704116821289, 23.673376083374023
29, -32.60941490251571, 2, 4.339836512999682, 30, 18657, 18657, 2.982390880584717, 24.18760108947754
30, 2.3777884989976883, 2, 6.390742490000775, 46, 18703, 18703, 3.050858974456787, 24.025915145874023
31, -59.41438676370308, 2, 23.30888641099955, 178, 18881, 18881, 3.0030453205108643, 24.091333389282227
32, -440.9008716121316, 4, 49.97314939300122, 386, 19267, 19267, 3.0827760696411133, 24.377153396606445
33, -21.152509136125445, 2, 5.159984763000466, 36, 19303, 19303, 3.2974154949188232, 24.914867401123047
34, 16.08263326715678, 2, 7.210426142999495, 52, 19355, 19355, 3.1923234462738037, 23.95250701904297
35, -60.178280807100236, 2, 34.53466038799888, 265, 19620, 19620, 3.143298864364624, 24.624706268310547
36, -13.65190228447318, 2, 4.628640870998424, 32, 19652, 19652, 3.246122121810913, 24.584917068481445
37, -0.19054028764367104, 2, 5.9139048750002985, 42, 19694, 19694, 3.0681416988372803, 24.75753402709961
38, 38.687089840183035, 2, 22.883452677000605, 174, 19868, 19868, 3.1667497158050537, 25.15556526184082
39, -20.80720626236871, 2, 15.79675467800007, 119, 19987, 19987, 3.078113317489624, 25.022462844848633
40, 36.14086599834263, 2, 25.28746287099966, 194, 20181, 20181, 3.2690398693084717, 25.220497131347656
41, 22.457647390663624, 2, 7.797377861999848, 57, 20238, 20238, 3.1683669090270996, 25.22278594970703
42, -65.44450008147396, 2, 29.057254436998846, 223, 20461, 20461, 3.1987266540527344, 25.526220321655273
43, 30.391226060688496, 2, 9.165665063999768, 67, 20528, 20528, 3.1840362548828125, 25.490877151489258
44, 11.885090351104736, 2, 8.054340892000255, 59, 20587, 20587, 3.0900163650512695, 25.092409133911133
45, 53.183203503489494, 2, 8.977026733000457, 66, 20653, 20653, 3.3424816131591797, 25.82459259033203
