episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, 12.550406427122653, 4, 40.182297929000015, 327, 15207, 15207, 0.014016658999025822, -0.3726866841316223
2, 9.886846101260744, 2, 18.6247309510004, 148, 15355, 15355, 0.012961992993950844, -0.3696698248386383
3, -1.9027468827553093, 2, 4.168805285999952, 30, 15385, 15385, 0.011835005134344101, -0.37716835737228394
4, 7.205269048223272, 2, 17.373503980999885, 138, 15523, 15523, 0.015764793381094933, -0.3544873893260956
5, 3.956481944769621, 2, 12.198108676000174, 96, 15619, 15619, 0.013751463033258915, -0.35940781235694885
6, 4.6547009577043355, 2, 11.365361395000036, 89, 15708, 15708, 0.014683487825095654, -0.3751853406429291
7, 6.320155130582862, 2, 16.180343394000374, 127, 15835, 15835, 0.013505103066563606, -0.3793752193450928
8, 3.6669023716822267, 2, 8.712230072999773, 67, 15902, 15902, 0.015366505831480026, -0.36738038063049316
9, -1.073195617995225, 2, 4.170080045999839, 30, 15932, 15932, 0.012851158156991005, -0.3898699879646301
10, -1.0869823994580656, 2, 4.151386782999907, 30, 15962, 15962, 0.013764638453722, -0.39371421933174133
11, -1.4954164022346959, 4, 40.24068889299997, 326, 16288, 16288, 0.013348110020160675, -0.36899951100349426
12, -0.3575128489173949, 2, 4.218837052999788, 30, 16318, 16318, 0.016036566346883774, -0.3982836902141571
13, 3.864130298490636, 2, 10.187250112000129, 79, 16397, 16397, 0.01356544066220522, -0.39058488607406616
14, 1.7921648919582367, 2, 7.747201010000026, 59, 16456, 16456, 0.014882126823067665, -0.3890472650527954
15, -0.6938527056481689, 2, 5.160803115000363, 38, 16494, 16494, 0.01412785705178976, -0.38599416613578796
16, -1.7117690629092976, 2, 4.176509386999896, 30, 16524, 16524, 0.013558036647737026, -0.39441898465156555
17, 1.6404604373965412, 2, 8.380025854999985, 64, 16588, 16588, 0.01430536713451147, -0.38194236159324646
18, 0.6760332940611988, 2, 5.47707833000004, 40, 16628, 16628, 0.014391258358955383, -0.40060296654701233
19, 10.23015907802619, 2, 20.506061806999696, 164, 16792, 16792, 0.015573493205010891, -0.39394786953926086
20, -0.3435416634893045, 2, 14.884937614000137, 118, 16910, 16910, 0.015471345745027065, -0.38863977789878845
