episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, 641278676203.4481, 2, 42.67626600099993, 335, 15325, 15325, 6993357312.0, -17185605632.0
2, 372778511709.2591, 4, 49.42813975199988, 385, 15710, 15710, 6972515840.0, -17687173120.0
3, 330532712812.62555, 4, 49.66091632200005, 387, 16097, 16097, 7041273856.0, -18262657024.0
4, 317112034219.0708, 2, 48.8835201360007, 380, 16477, 16477, 6941217792.0, -18403590144.0
5, 1200834296.872034, 2, 4.35234169100022, 30, 16507, 16507, 7210867712.0, -18719651840.0
6, 1362692726.770059, 2, 4.330129678000048, 30, 16537, 16537, 6806103552.0, -18483746816.0
7, 27460519804.522873, 2, 4.307928489000005, 30, 16567, 16567, 6678336512.0, -18662918144.0
8, 346122768760.31525, 4, 49.78477773299983, 386, 16953, 16953, 6864821248.0, -18542075904.0
9, 304382687402.3277, 4, 49.56414495900026, 384, 17337, 17337, 6772463104.0, -18927861760.0
10, 325617908373.37805, 4, 49.57544094700006, 382, 17719, 17719, 6717584896.0, -19504326656.0
11, 51912171.68359625, 2, 4.31656967500021, 30, 17749, 17749, 6316054016.0, -19635369984.0
12, 876378616.5400481, 2, 4.323333153999556, 30, 17779, 17779, 6763289088.0, -19897044992.0
13, 26577512316.901554, 2, 4.340934985999411, 30, 17809, 17809, 6841851392.0, -19600623616.0
14, 339963856919.8095, 4, 50.259959492000235, 390, 18199, 18199, 6548354560.0, -19627923456.0
15, 8328661128.20398, 2, 4.3927382649999345, 30, 18229, 18229, 6441079808.0, -19873492992.0
16, 610098798.8376937, 2, 4.380539228000089, 30, 18259, 18259, 6492170240.0, -19357982720.0
17, 1205273461.110481, 2, 4.3334591819993875, 30, 18289, 18289, 6205219328.0, -19565074432.0
18, 364328175478.4416, 4, 50.05084662699937, 385, 18674, 18674, 6502979072.0, -19791661056.0
19, 302171171348.55457, 4, 49.58655605799959, 381, 19055, 19055, 6480190976.0, -20247879680.0
20, -1052.8487467765808, 4, 49.48582941299992, 383, 19438, 19438, 6266127360.0, -20017670144.0
