episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -171.22734427411342, 2, 32.359883666000314, 254, 15126, 15126, 3.9158990383148193, 21.106281280517578
2, -113.00354960910045, 4, 50.09807461499986, 392, 15518, 15518, 4.0667195320129395, 23.12396812438965
3, -29.41448840429075, 4, 50.112551418000294, 393, 15911, 15911, 4.043969631195068, 24.877952575683594
4, -35.60107244364917, 4, 50.173093054000674, 393, 16304, 16304, 4.072241306304932, 24.91907501220703
5, -153.0647062896751, 2, 4.310545532000106, 30, 16334, 16334, 3.7870724201202393, 25.659557342529297
6, -154.5375570972392, 2, 8.273040170999593, 61, 16395, 16395, 3.922700881958008, 24.785232543945312
7, -46.39733350413735, 4, 50.17476229799922, 393, 16788, 16788, 4.025874137878418, 25.420881271362305
8, -39.39633454370778, 4, 50.094294984000044, 393, 17181, 17181, 4.051658630371094, 24.827835083007812
9, -208.33466158190276, 2, 49.34239203600009, 387, 17568, 17568, 3.9561426639556885, 25.2676944732666
10, -77.07695120488643, 4, 50.12608539900066, 392, 17960, 17960, 4.483588695526123, 26.22989845275879
11, -35.38374366774224, 4, 50.20292408400019, 393, 18353, 18353, 4.433424472808838, 26.473352432250977
12, -154.64862336276565, 2, 4.32829630300057, 30, 18383, 18383, 4.121025562286377, 27.491933822631836
13, -175.6587188091944, 2, 21.563670772000478, 164, 18547, 18547, 4.269672870635986, 27.368911743164062
14, -153.34713386523072, 2, 7.467320959000062, 55, 18602, 18602, 4.385406017303467, 26.78240203857422
15, -153.91482463711873, 2, 4.316068697999981, 30, 18632, 18632, 4.528584003448486, 28.70829963684082
16, -53.27537107374519, 4, 50.1706791659999, 392, 19024, 19024, 4.440176963806152, 27.39493179321289
17, -162.07080511160893, 2, 19.537004816999797, 150, 19174, 19174, 4.533903121948242, 27.55484390258789
18, -99.11664166115224, 4, 50.103706610999325, 390, 19564, 19564, 4.479313373565674, 28.282052993774414
19, -58.01096869172761, 4, 50.20636015399941, 393, 19957, 19957, 4.512685775756836, 29.276399612426758
20, -159.89818693953566, 2, 11.188389869000275, 85, 20042, 20042, 4.491864204406738, 29.577621459960938
21, -217.60488091316074, 2, 19.373065836000023, 150, 20192, 20192, 4.3732709884643555, 30.106639862060547
22, -152.0417010090896, 2, 4.412196852999841, 31, 20223, 20223, 4.183530807495117, 31.725170135498047
23, -55.36804621225383, 4, 50.11949676899985, 394, 20617, 20617, 4.397480487823486, 30.696998596191406
24, -27.93735209730221, 4, 50.147727476, 394, 21011, 21011, 4.453515529632568, 30.342241287231445
25, -21.528765579219908, 4, 50.21403753600043, 394, 21405, 21405, 4.331487655639648, 29.84552764892578
